N_Sequence, N_Jour, heure_debut, duree, N_Classe, N_Matiere
471,6, 08:30, 01:30,8,11
472,6, 10:00, 01:30,8,15
481,1, 08:30, 01:00,9,9
482,1, 09:30, 02:00,9,16
485,1, 13:00, 01:00,9,18
486,1, 14:00, 01:00,9,6
487,1, 15:00, 01:00,9,13
488,1, 16:00, 01:00,9,10
491,2, 08:30, 01:00,9,22
492,2, 09:30, 01:00,9,8
493,2, 10:30, 01:00,9,10
495,2, 13:00, 01:30,9,11
496,2, 14:30, 01:30,9,15
498,2, 16:00, 01:00,9,10
499,2, 17:00, 01:00,9,16
501,3, 08:30, 01:00,9,9
502,3, 09:30, 01:00,9,10
503,3, 10:30, 02:00,9,17
511,4, 08:30, 01:00,9,6
512,4, 09:30, 01:00,9,2
513,4, 10:30, 01:00,9,16
515,4, 13:00, 01:00,9,2
516,4, 14:00, 01:00,9,8
517,4, 15:00, 01:00,9,6
518,4, 16:00, 01:00,9,10
521,5, 08:30, 01:00,9,4
522,5, 09:30, 01:00,9,2
523,5, 10:30, 02:00,9,5
526,5, 14:00, 01:00,9,6
527,5, 15:00, 01:00,9,8
528,5, 16:00, 01:00,9,11
529,5, 17:00, 01:00,9,6
530,5, 18:00, 01:00,9,1
531,6, 08:30, 01:00,9,13
532,6, 10:00, 01:30,9,14
541,1, 08:30, 01:00,10,6
542,1, 09:30, 01:00,10,6
543,1, 10:30, 01:00,10,11
545,1, 13:00, 01:00,10,8
546,1, 14:00, 01:00,10,3
547,1, 15:00, 01:00,10,2
548,1, 16:00, 01:00,10,22
551,2, 08:30, 01:00,10,6
552,2, 09:30, 01:00,10,16
553,2, 10:30, 01:00,10,8
556,2, 14:00, 01:00,10,10
557,2, 15:00, 01:00,10,22
558,2, 16:00, 01:00,10,6
559,2, 17:00, 01:00,10,16
561,3, 08:30, 01:00,10,2
562,3, 09:30, 01:00,10,10
563,3, 10:30, 02:00,10,17
571,4, 08:30, 01:00,10,10
572,4, 09:30, 01:00,10,6
573,4, 10:30, 01:00,10,10
575,4, 13:00, 01:00,10,16
576,4, 14:00, 01:00,10,4
577,4, 15:30, 01:30,10,14
581,5, 08:30, 01:00,10,13
582,5, 09:30, 01:00,10,18
583,5, 10:30, 02:00,10,5
586,5, 14:00, 01:00,10,10
587,5, 15:00, 01:00,10,3
588,5, 16:00, 01:00,10,2
590,5, 18:00, 01:00,10,1
591,6, 08:30, 01:00,10,8
592,6, 09:30, 01:30,10,11
593,6, 11:00, 01:30,10,15
601,1, 08:30, 01:00,11,9
602,1, 09:30, 01:00,11,11
603,1, 10:30, 01:00,11,2
605,1, 13:00, 01:00,11,8
606,1, 14:00, 01:00,11,3
607,1, 15:00, 01:30,11,11
608,1, 16:30, 01:30,11,15
611,2, 08:30, 01:00,11,8
612,2, 09:30, 01:00,11,3
613,2, 10:30, 01:00,11,13
615,2, 13:00, 01:00,11,6
616,2, 14:00, 01:00,11,2
617,2, 15:00, 01:00,11,11
618,2, 16:00, 01:00,11,2
621,3, 08:30, 01:00,11,9
622,3, 09:30, 01:00,11,18
623,3, 10:30, 02:00,11,17
631,4, 08:30, 01:00,11,10
632,4, 09:30, 01:00,11,16
633,4, 10:30, 01:00,11,6
634,4, 11:30, 01:30,11,14
635,4, 13:00, 01:00,11,11
636,4, 14:00, 01:00,11,6
637,4, 15:00, 02:00,11,10
641,5, 08:30, 02:00,11,5
642,5, 09:30, 01:00,11,10
643,5, 10:30, 01:00,11,10
646,5, 14:00, 01:00,11,8
647,5, 15:00, 01:00,11,2
648,5, 16:00, 01:00,11,3
649,5, 17:00, 01:00,11,13
651,6, 08:30, 01:00,11,2
652,6, 09:30, 01:00,11,2
653,6, 10:30, 02:00,11,6
